analysis,risk_treated,risk_control,RD,RD_lcl,RD_ucl,RR,RR_lcl,RR_ucl,n
Naive (unadjusted),0.4299,0.3406,0.0893,0.0469,0.1317,1.2621,1.1287,1.4112,
"AIPW adjusted (primary, subdistribution)",0.4275,0.3439,0.0835,0.0393,0.1278,1.2429,1.1066,1.396,2008
